date,mean_aod,median_aod,max_aod,coverage
2025-01-01,0.3896565367410851,0.352,2.767,32.09458333333333
2025-01-01,0.18818971658886155,0.169,4.348,18.23763888888889
2025-01-01,0.25082416046157585,0.193,2.384,11.723125
2025-01-01,0.21706973778495697,0.22,2.665,1.905949074074074
2025-01-02,0.39699277373800734,0.319,2.17,18.89648148148148
2025-01-02,0.18270276022483184,0.176,6.4510000000000005,60.069583333333334
2025-01-02,0.3235342854549805,0.307,4.199,25.250625
2025-01-02,0.13959867033759976,0.125,3.068,7.43453125
2025-01-02,0.2121862910300088,0.218,2.815,5.673495370370371
2025-01-03,0.26601091579779423,0.245,2.907,0.6149768518518519
2025-01-03,0.3063352997542709,0.279,4.0,11.812916666666666
2025-01-03,0.44811163542192867,0.387,4.0,47.794467592592596
2025-01-03,0.17766255308855142,0.17,1.903,31.960925925925928
2025-01-03,0.560332590450031,0.562,2.99,24.663038194444447
2025-01-04,0.49742268811539075,0.454,3.373,16.91516203703704
2025-01-04,0.2297388073298494,0.215,2.9410000000000003,56.409375
2025-01-04,0.3103977520137942,0.28800000000000003,2.904,26.98402777777778
2025-01-04,0.21990117025704714,0.2,3.173,16.961689814814815
2025-01-04,0.24835446875622041,0.23500000000000001,4.774,1.5117824074074073
2025-01-05,0.26895127463823554,0.259,1.1300000000000001,33.64425925925926
2025-01-05,0.2336556552780602,0.216,1.053,3.7739756944444447
2025-01-05,0.19527949673156672,0.197,2.714,1.234982638888889
2025-01-06,0.2889734773163527,0.309,3.6430000000000002,4.027824074074074
2025-01-06,0.22563820329604073,0.181,5.15,42.32982638888889
2025-01-06,0.25889483333098395,0.225,3.494,23.400190972222223
2025-01-06,0.54250858780546,0.527,3.036,16.105416666666667
2025-01-06,0.3839484276973478,0.368,3.04,42.97409722222223
2025-01-07,0.22443819548125366,0.17300000000000001,2.824,7.45761574074074
2025-01-07,0.2651259302579,0.254,2.838,50.82315972222222
2025-01-07,0.4768091391281528,0.451,4.0,13.429739583333333
2025-01-07,0.1458073235654778,0.127,3.0500000000000003,12.538291666666668
2025-01-07,0.23141195838449807,0.231,1.803,3.4308796296296293
2025-01-08,0.17624080547706536,0.158,1.6560000000000001,27.9803125
2025-01-08,0.29338222230025107,0.258,0.805,1.9777430555555555
2025-01-08,0.22900363401503002,0.227,4.877,14.97234375
2025-01-08,0.25576461079780166,0.232,2.599,1.933263888888889
2025-01-08,0.5378203705682527,0.512,2.837,18.630046296296296
2025-01-09,0.29604234771338644,0.27,1.369,3.125578703703704
2025-01-09,0.31041184549030276,0.26,4.272,7.315254629629629
2025-01-09,0.30486917586376916,0.28500000000000003,3.219,45.776041666666664
2025-01-09,0.5504961186817858,0.505,4.0,10.290121527777778
2025-01-09,0.14615799163998422,0.128,4.378,16.092916666666667
2025-01-10,0.3401738210687454,0.308,3.0700000000000003,28.568350694444444
2025-01-10,0.1590871423326679,0.134,1.436,2.4211666666666667
2025-01-10,0.3174558110072384,0.317,1.336,8.277065972222223
2025-01-10,0.25836221943939736,0.243,1.45,36.15652777777778
2025-01-10,0.14625342851775314,0.138,0.514,0.07393055555555555
