stationId,stationName,latitude,longitude,region
28505268571336961948594948504,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),21.3385,105.367,NE
28505272740301122608933325208,Đà Nẵng: 41 đường Lê Duẩn (KK),16.074,108.217,SCC
28915732959631398237539556920,Hà Nội: Khu vực Lăng Bác (KK),21.0356,105.833,RRD
31388836637198369136462150188,Bình Định: Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),13.7851,109.22,SCC
31388839920718814259329251882,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",10.9923,106.658,SE
31388851800421997746903202346,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16.0622,108.159,SCC
31388883344354363840031242796,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),20.536,105.916,RRD
31390903576425084107499649578,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),21.0052,105.842,RRD
31390908889087377344742439468,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),21.0031,105.795,RRD
31390912357075263208060500522,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),10.7823,106.683,SE
31390916083317566102523755051,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),10.7832,106.753,SE
31390921469766835629621918251,Hưng Yên: số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),20.6618,106.059,RRD
31390928700890512538630765099,Lâm Đồng: Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),11.9527,108.43,CH
31390932574706768021562473002,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),10.5391,106.405,SE
31390939012620449761949792810,Ninh Thuận: Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),11.5736,108.992,SCC
31390944251495766704153049642,Quảng Nam: Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),15.5621,108.487,SCC
31390951371938979254287350314,Quảng Ngãi: UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),15.121,108.804,SCC
31390957404024291365397346858,Thái Bình: Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),20.4578,106.344,RRD
31390965631272148257054013994,Vũng Tàu: Đ. Huyền Trân Công Chúa - Phường 8 - TP Vũng Tàu,10.4955,107.274,SE
31388868531618872623864101418,Hải Dương: UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),20.9381,106.336,RRD
31836631011116458146308623213,Gia Lai: Trạm Diên Phú (KK),13.9425,107.997,CH
31570631866920915749872483233,Bình Định: huyện Tuy Phước (KK),13.7619,109.22,SCC
32226856627901174291787516193,Bắc Giang: Thôn Vĩnh An - xã Song Mai - TP. Bắc Giang (KK),21.3076,106.191,NE
32226870949329422321657029896,Bắc Giang: Số 1 đ. Hùng Vương - P. Lê Lợi - TP. Bắc Giang (KK),21.2684,106.205,NE
32364176301658391599618161719,Nam Định: Số 192 - Đ. Cù Chính Lan - P. Vị Xuyên ( Trạm nền ) (KK),20.4398,106.188,RRD
32364183997304919819454378150,Nam Định: Số 2 Trần Thánh Tông - P. Quang Trung (VT1) (KK),20.4378,106.176,RRD
32364190084730464143606411447,Nam Định: Thôn Vân Cát - P. Nam Vân - TP. Nam Định (VT2) (KK),20.3996,106.182,RRD
32364194875996560076825514951,Nam Định: Đường Trần Huy Liệu - P. Trường Thi (VT3) (KK),20.42,106.162,RRD
32364200193546216536440697093,Nam Định: Lô 29 - đ. Trương Hán Siêu - P. Lộc Hòa (VT4) (KK),20.4357,106.156,RRD
28916504310234840885489983032,Bắc Ninh: Khu liên cơ Thuận Thành - thị trấn Hồ (KK),21.0272,106.034,RRD
29544533341424688633522251105,Gia Lai: KCN Trà Đa - Tp Pleiku (KK),14.0177,108.035,CH
30487895627496546123240481728,Gia lai: Chư Sê (KK),13.6987,108.076,CH
29828513366380889034790000096,Hưng Yên: Nhà văn hóa xã Tân Quang - h.Văn Lâm (KK),20.9805,105.974,RRD
28599103930259709512833128161,Quảng Ninh: Phường Cẩm Thịnh - Cẩm Phả (KK),21.0065,107.344,NE
29996239538320865599553202177,Tây Ninh: Thị xã Trảng Bàng (KK),11.0303,106.356,SE
29203727697074312726675247132,"Thái Bình: xã Thái Thọ, huyện Thái Thụy (KK)",20.4616,106.517,RRD
30921862678974937849512304668,Trà Vinh: Tp. Trà Vinh (KK),9.92389,106.34,SE
29098314940209976158571475636,"Trà Vinh: xã Dân Thành, TX Duyên Hải (KK)",9.59914,106.52,SE
29098319146067624969113973428,"Trà Vinh: xã Đông Hải, huyện Duyên Hải (KK)",9.57555,106.488,SE
28560877461938780203765592307,Hà Nội: 556 Nguyễn Văn Cừ (KK),21.0491,105.883,RRD
31651502905690497791503780869,Thái Nguyên: Sân vận động Gang thép - P Trung Thành - TP Thái Nguyên (KK),21.5391,105.872,NE
31616865099255512061948816121,Đà Nẵng: Phạm Hùng (KK),15.9961,108.207,SCC
30991938797551443885460120607,"Sóc Trăng: Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",9.61358,105.968,SE
30668578626453200136007481288,"Vĩnh Long: UBND tỉnh, đường Hoàng Thái Hiếu (KK)",10.2513,105.947,SE
28602837126985114455002404577,Quảng Ninh: UBND TP Uông Bí (KK),21.0358,106.764,NE
29996225242094208443243751425,Tây Ninh: Phường 3 - TP. Tây Ninh (KK),11.3277,106.104,SE
29936546593921360616662752773,Hưng Yên: Trạm khí xung quanh KCN Thăng long II (KK),20.6617,106.059,RRD
29541549672804486395063249961,Gia Lai: UBND thị xã An Khê (KK),13.9539,108.656,CH
29518885338952740244749551027,Quảng Ninh: Nhuệ Hổ - Đông Triều (KK),21.07,106.556,NE
29518872592252585279589451187,Quảng Ninh: Km11 - Minh Thành (KK),21.0062,106.859,NE
29518862280522648049760863667,Quảng Ninh: UBND huyện Hải Hà (KK),21.4528,107.76,NE
29518852005686198968139908531,Quảng Ninh: Gần KCN Cái Lân (KK),20.9725,107.044,NE
29518839738601389925132404147,"Quảng Ninh: Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",21.0093,107.274,NE
29196021237696127337075448678,Bắc Ninh: UBND xã Cao Đức - Gia Bình (KK),21.0832,106.281,RRD
29196010501691076420299004774,Bắc Ninh: TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),21.1873,106.074,RRD
28916774462801800655608897080,Bắc Ninh: UBND xã Xuân Lâm - Thuận Thành (KK),21.0243,106.017,RRD
30018605256279546654144260098,Lào Cai: KCN Tằng Loỏng - trạm số 2 (KK),22.2955,104.134,NW
28916766954976962647717994040,"Bắc Ninh: UBND huyện Quế Võ, TT Phố Mới (KK)",21.1518,106.152,RRD
28916576381663936943098322488,Bắc Ninh: KCN Yên Phong (gần trạm cấp nước sạch) (KK),21.1968,105.993,RRD
28916745851901742294496599608,Bắc Ninh: KCN Tiên Sơn (Trạm cấp nước sạch KCN) - Từ Sơn (KK),21.1194,105.99,RRD
28602897318711027016899843809,Quảng Ninh: Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),20.9454,107.131,NE
28602553176253587650986727137,Quảng Ninh: UBND phường Mạo Khê - Đông Triều (KK),21.0585,106.598,NE
28601787986862666164115166945,Quảng Ninh: Văn phòng C.ty than Khe Chàm - Tp Cẩm Phả (KK),21.0652,107.326,NE
28601309072493024807602706145,Quảng Ninh: phường Cao Xanh  - Hạ Long (KK),20.9797,107.087,NE
32496602817040565458030689725,"Hà Nội: 79 Văn Tiến Dũng, Tây Tựu (LCS)",21.0608,105.749,RRD
32496693563219291690449469264,Hải Phòng: Trụ sở ủy ban xã Phạm Sư Mạnh cũ (LCS),21.0272,106.509,RRD
32497734637638860594066758096,Thái Nguyên: Trung Tâm Hành Chính Công Xã Đồng Hỷ (LCS),21.5761,106.503,NE
32497836911670612380284465171,Thái Nguyên: UBND Xã Quang Sơn (LCS),21.6959,105.864,NE
