stationId,stationName,latitude,longitude,year,population,source_year,is_extrapolated
29936546593921360616662752773,Hưng Yên: Trạm khí xung quanh KCN Thăng long II (KK),20.6617,106.059,2022,5315,2022,False
29541549672804486395063249961,Gia Lai: UBND thị xã An Khê (KK),13.9539,108.656,2022,4612,2022,False
29518885338952740244749551027,Quảng Ninh: Nhuệ Hổ - Đông Triều (KK),21.07,106.556,2022,1399,2022,False
29518872592252585279589451187,Quảng Ninh: Km11 - Minh Thành (KK),21.0062,106.859,2022,3250,2022,False
29518862280522648049760863667,Quảng Ninh: UBND huyện Hải Hà (KK),21.4528,107.76,2022,3748,2022,False
29518852005686198968139908531,Quảng Ninh: Gần KCN Cái Lân (KK),20.9725,107.044,2022,1195,2022,False
29518839738601389925132404147,"Quảng Ninh: Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",21.0093,107.274,2022,5253,2022,False
29196021237696127337075448678,Bắc Ninh: UBND xã Cao Đức - Gia Bình (KK),21.0832,106.281,2022,2490,2022,False
29196010501691076420299004774,Bắc Ninh: TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),21.1873,106.074,2022,6965,2022,False
28916774462801800655608897080,Bắc Ninh: UBND xã Xuân Lâm - Thuận Thành (KK),21.0243,106.017,2022,2624,2022,False
30018605256279546654144260098,Lào Cai: KCN Tằng Loỏng - trạm số 2 (KK),22.2955,104.134,2022,290,2022,False
28916766954976962647717994040,"Bắc Ninh: UBND huyện Quế Võ, TT Phố Mới (KK)",21.1518,106.152,2022,1883,2022,False
28916576381663936943098322488,Bắc Ninh: KCN Yên Phong (gần trạm cấp nước sạch) (KK),21.1968,105.993,2022,4063,2022,False
28916745851901742294496599608,Bắc Ninh: KCN Tiên Sơn (Trạm cấp nước sạch KCN) - Từ Sơn (KK),21.1194,105.99,2022,790,2022,False
28602897318711027016899843809,Quảng Ninh: Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),20.9454,107.131,2022,5212,2022,False
28602553176253587650986727137,Quảng Ninh: UBND phường Mạo Khê - Đông Triều (KK),21.0585,106.598,2022,3048,2022,False
28601787986862666164115166945,Quảng Ninh: Văn phòng C.ty than Khe Chàm - Tp Cẩm Phả (KK),21.0652,107.326,2022,1892,2022,False
28601309072493024807602706145,Quảng Ninh: phường Cao Xanh  - Hạ Long (KK),20.9797,107.087,2022,2328,2022,False
32496602817040565458030689725,"Hà Nội: 79 Văn Tiến Dũng, Tây Tựu (LCS)",21.0608,105.749,2022,1326,2022,False
32496693563219291690449469264,Hải Phòng: Trụ sở ủy ban xã Phạm Sư Mạnh cũ (LCS),21.0272,106.509,2022,1626,2022,False
32497734637638860594066758096,Thái Nguyên: Trung Tâm Hành Chính Công Xã Đồng Hỷ (LCS),21.5761,106.503,2022,1454,2022,False
32497836911670612380284465171,Thái Nguyên: UBND Xã Quang Sơn (LCS),21.6959,105.864,2022,143,2022,False
32497696449863912939996438674,"Hà Nội: 79 Văn Tiến Dũng, Tây Tựu 2 (LCS)",21.0608,105.749,2022,1326,2022,False
32496627929703877431864819302,Hà Nội: UBND xã Ngọc Liệp (LCS),20.9968,105.596,2022,386,2022,False
32496584622031367061634346762,Hưng Yên: Cổng bảo vệ  ủy ban xã Như Quỳnh (LCS),20.9769,105.994,2022,745,2022,False
32496597338357575566293859742,"Hà Nội:TT Quan trắc môi trường miền Bắc, 556 Nguyễn Văn Cừ (LCS)",21.0487,105.882,2022,1807,2022,False
32496608539373531178394552735,"Hà Nội: Tổng cục Biển và Hải đảo, Bộ Tài nguyên và Môi trường - 83 Nguyễn Chí Thanh(LCS)",21.0224,105.81,2022,22415,2022,False
32496614298366895058622457929,Hà Nội: Công an xã Hoài Đức (LCS),21.0683,105.708,2022,1973,2022,False
32496619672150063767061412126,"Hà Nội: Cột điện cổng phụ Trường tiểu học Phú Lãm, phường Phú Lương (LCS)",20.9436,105.754,2022,2292,2022,False
32496631939608265457394360507,"Hà Nội: Trường tiểu học Minh Khai, P. Thanh Nhàn (LCS)",21.0045,105.853,2022,43253,2022,False
32496634188432693119199539147,Hà Nội: UBND xã Trần Phú (LCS),20.8327,105.671,2022,735,2022,False
32497722117136617634216524795,Hải Phòng: Cổng bảo vệ trường tiểu học phả lại phường Chí Linh (LCS),21.1126,106.333,2022,1838,2022,False
32497686304154672399743049842,Hà Nội: UBND xã Chương Dương (LCS),20.8632,105.917,2022,4446,2022,False
32496644961331232165577682920,Hà Nội: Ban chỉ huy Quân sự xã Phúc Thọ(LCS),21.1044,105.544,2022,3965,2022,False
32497740397859994680382176275,Hải Phòng: Ban chỉ huy quân sự xã An Quang (LCS),20.8084,106.531,2022,1361,2022,False
32497743881131035780167864566,Hải Phòng: Vọng gác công an phường Bạch Đằng (LCS),20.9915,106.706,2022,1292,2022,False
32497745839288232378111853921,Hải Phòng: cột điện Phường Bạch Đằng (anh Vân - 098 9325417) (LCS),20.9618,106.749,2022,1188,2022,False
32496640019282169742177968358,Hà Nội: UBND phường Quan Hoa (cũ)(LCS),21.0346,105.8,2022,35248,2022,False
32496599090403802522844462004,Hưng Yên: Nhà văn hoá thế thôn Hồng Cầu (LCS),20.9615,106.021,2022,1104,2022,False
32496635793299427531930529746,"Hà Nội: Cổng Trường tiểu học Thịnh Hào, phường Ô Chợ Dừa(LCS)",21.0188,105.829,2022,47158,2022,False
32496648232690046548195134965,Hà Nội: UBND TT Phùng(LCS),21.0833,105.669,2022,5760,2022,False
32496649796320141677664228873,Hà Nội: UBND xã Chuyên Mỹ(LCS),20.6957,105.899,2022,1234,2022,False
32496654659036040237005110994,"Hà Nội: Trường mầm non B, Ngọc Hồi(LCS)",20.9242,105.834,2022,3288,2022,False
32496656699585544717774158962,Hà Nội: UBND phường Định Công(LCS),20.9777,105.822,2022,14001,2022,False
32496659849795661849369859648,"Hà Nội: Nhà bảo vệ Trường THCS Tây Đằng, xã Quảng Oai(LCS)",21.1959,105.428,2022,639,2022,False
32497674830731204969056502556,Hà Nội: UBND xã Thanh Thuỳ (LCS),20.8707,105.806,2022,1270,2022,False
32497682732178779599258375030,Hà Nội: UBND phường Hoàng Liệt(LCS),20.9662,105.838,2022,4159,2022,False
32497684349251147003185136481,Hà Nội: Tường rào -Trước cổng bảo vệ UBND phường Long Biên (LCS),21.0233,105.906,2022,6577,2022,False
32497689422265798936416998264,"Hà Nội: Cổng 3, Bộ Tài nguyên và Môi trường, 10 Tôn Thất Thuyết (LCS)",21.028,105.783,2022,8827,2022,False
32497693512462826621189636013,"Hà Nội: Nhà bảo vệ Cung thể thao tổng hợp Quần Ngựa (phố Văn Cao), Phường Liễu Giai, quận Ba Đình (LCS)",21.0407,105.816,2022,28530,2022,False
32497698154816065885508975523,"Hà Nội: Cục Viễn Thám quốc gia, Bộ Tài nguyên và Môi trường số 79 Văn Tiến Dũng (LCS)",21.0608,105.749,2022,1326,2022,False
32497715505350541081963258104,"Hải Phòng: Cổng bảo vệ, ủy ban xã Nguyễn Lương Bằng (LCS)",20.8345,106.221,2022,609,2022,False
32496615589638980218291071052,Hưng Yên: Tường trước mặt nhà Văn hóa Phong Cốc (LCS),20.9201,106.138,2022,1373,2022,False
32496646519546184688745583087,Hà Nội: Viện hàn lâm Khoa học và Công nghệ - 18 Hoàng Quốc Việt - Phường Nghĩa Đô(LCS),21.0464,105.802,2022,43427,2022,False
32496653072616049897983672014,"Hà Nội: TT văn hoá thể thao Ninh Hiệp, xã Ninh Hiệp(LCS)",21.0787,105.945,2022,8013,2022,False
32496658274959142730665276769,Hà Nội: UBND xã Song Phương(LCS),21.0174,105.697,2022,1916,2022,False
32497687835845808597395559285,Hà Nội: UBND xã Quang Minh (LCS),21.1781,105.729,2022,25294,2022,False
32497691894129504813496914814,Hà Nội: Nhà bảo vệ UBND xã Phúc Thịnh (LCS),21.1775,105.839,2022,4831,2022,False
32497713513553527537986241519,"Hải Phòng: Cổng bảo vệ trường tiểu học Tử Lạc, phường Nhị Chiểu (LCS)",21.0337,106.597,2022,350,2022,False
32496578935958505757412009876,Hưng Yên: Cổng bảo vệ xã Phạm Ngũ Lão (trụ sở cũ xã Phù Ủng) (LCS),20.892,106.137,2022,1369,2022,False
32496590242207758224773467210,Hải Phòng:  Địa điểm 2 của công an phường Phạm Sư Mạnh (LCS),21.0104,106.528,2022,1973,2022,False
32496618056220078954907439411,Hưng Yên: Nhà văn hoá thôn Lường xã Thượng Hồng (LCS),20.9178,106.121,2022,752,2022,False
32496621120052989448308754893,"Lạng Sơn: Cột điện đối diện nhà văn hóa khu Pha Lác, xã Chi Lăng (LCS)",21.5761,106.503,2022,1454,2022,False
32496670530460480527200245359,Hải Phòng: Phòng kinh tế môi trường - Ủy ban phường Bạch Đằng (LCS),20.9562,106.745,2022,1188,2022,False
32496674426906599552653261962,Hải Phòng: Cổng bảo vệ trường mầm non Tam Hưng- phường Nam Triệu (LCS),20.9399,106.75,2022,815,2022,False
32496700750804852782040219324,Hải Phòng: ủy ban phường Phạm Sư Mạnh (LCS),21.0062,106.533,2022,1229,2022,False
32497682375609562779368280919,Hải Phòng: Phòng bảo vệ trường mầm non Gia Đức- phường Bạch Đằng (LCS),20.9867,106.739,2022,1487,2022,False
32497816774243732691318562431,"Lạng Sơn: Tường phía sau lưng nhà văn hóa khu Trung Thịnh, xã Chi Lăng (LCS)",21.5581,106.481,2022,645,2022,False
32497825983352144945122444532,"Ninh Bình: Cổng bảo vệ trạm bơm Hoành Uyển, phường Hà Nam (LCS)",20.6748,105.899,2022,725,2022,False
32497829304160538258698536470,Ninh Bình: UBND Phường Hà Nam (LCS),20.5831,105.928,2022,1121,2022,False
32497832479169427549528529636,Ninh Bình: Đảng ủy - HĐND phường Hà Nam (LCS),20.5535,105.934,2022,1049,2022,False
32497834813217474579076019998,Ninh Bình: Trung tâm Hành chính công Phường Đồng Văn (LCS),20.6415,105.902,2022,756,2022,False
32497839438874550478493036568,"Thái Nguyên: Trạm quan trắc nước tại đập Ba Đa, phường Cam Giá (LCS)",21.5683,105.847,2022,3214,2022,False
