station_id,hima_variant,n,r,R2,slope,intercept,RMSE,MAE,Bias,RelBias_pct,station_label
"Thái Bình: xã Thái Thọ, huyện Thái Thụy (KK)",Himawari 0.50 µm (original),113,0.4872,0.2374,0.2847,0.3392,0.4012,0.2693,-0.0557,-10.0928,"Thái Bình: xã Thái Thọ, huyện Thái Thụy (KK)"
Tây Ninh: Thị xã Trảng Bàng (KK),Himawari 0.50 µm (original),11,0.456,0.208,1.0988,0.0229,0.3228,0.2449,0.0719,14.491,Tây Ninh: Thị xã Trảng Bàng (KK)
"Sóc Trăng: Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",Himawari 0.50 µm (original),6,0.1354,0.0183,0.1579,0.2933,0.2623,0.1857,0.043,14.4461,"Sóc Trăng: Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)"
HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),Himawari 0.50 µm (original),16,0.0797,0.0063,0.0214,0.2893,0.4813,0.4029,-0.3531,-53.785,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK)
Gia Lai: UBND thị xã An Khê (KK),Himawari 0.55 µm (AE-corrected),8,0.9691,0.9391,0.953,0.0057,0.0784,0.0516,-0.0271,-3.8886,Gia Lai: UBND thị xã An Khê (KK)
"Quảng Ninh: Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",Himawari 0.55 µm (AE-corrected),89,0.9049,0.8188,0.8511,0.0234,0.1201,0.0863,-0.043,-9.6425,"Quảng Ninh: Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)"
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),Himawari 0.55 µm (AE-corrected),122,0.8653,0.7488,0.4074,0.1946,0.539,0.3127,-0.2814,-35.0298,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK)
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),Himawari 0.55 µm (AE-corrected),113,0.865,0.7483,0.4566,0.1919,0.405,0.2258,-0.1812,-26.3949,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK)
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Himawari 0.55 µm (AE-corrected),36,0.8452,0.7144,0.5112,0.2303,0.3879,0.3391,-0.3278,-28.7067,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK)
Quảng Nam: Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Himawari 0.55 µm (AE-corrected),92,0.8413,0.7077,0.8164,0.0506,0.2505,0.1851,-0.1037,-12.3378,Quảng Nam: Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK)
Hà Nội: 556 Nguyễn Văn Cừ (KK),Himawari 0.55 µm (AE-corrected),110,0.8384,0.703,0.4785,0.1809,0.3689,0.2143,-0.1539,-23.974,Hà Nội: 556 Nguyễn Văn Cừ (KK)
Hưng Yên: số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),Himawari 0.55 µm (AE-corrected),125,0.8206,0.6734,0.5013,0.1447,0.3941,0.2491,-0.1873,-28.1294,Hưng Yên: số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK)
Gia Lai: KCN Trà Đa - Tp Pleiku (KK),Himawari 0.55 µm (AE-corrected),29,0.7988,0.638,1.0039,0.0501,0.1102,0.091,0.051,22.8356,Gia Lai: KCN Trà Đa - Tp Pleiku (KK)
Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),Himawari 0.55 µm (AE-corrected),75,0.7972,0.6355,0.4596,0.2086,0.4533,0.281,-0.2104,-27.1374,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK)
Quảng Ngãi: UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Himawari 0.55 µm (AE-corrected),111,0.7965,0.6344,0.8476,0.1047,0.2255,0.1499,-0.0034,-0.4824,Quảng Ngãi: UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK)
"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",Himawari 0.55 µm (AE-corrected),13,0.7947,0.6316,0.5559,0.0474,0.2491,0.2238,-0.2098,-36.2216,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)"
Hải Dương: UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),Himawari 0.55 µm (AE-corrected),120,0.7669,0.5881,0.5396,0.1347,0.2878,0.1806,-0.0934,-18.8583,Hải Dương: UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),Himawari 0.55 µm (AE-corrected),80,0.7282,0.5303,0.2707,0.3597,0.7095,0.4544,-0.434,-39.8781,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK)
HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),Himawari 0.55 µm (AE-corrected),12,0.7108,0.5053,0.4105,0.1081,0.3264,0.2898,-0.2805,-42.5533,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK)
"Trà Vinh: xã Đông Hải, huyện Duyên Hải (KK)",Himawari 0.55 µm (AE-corrected),117,0.6501,0.4227,0.6479,0.0007,0.2042,0.1674,-0.1512,-35.0386,"Trà Vinh: xã Đông Hải, huyện Duyên Hải (KK)"
Thái Bình: Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),Himawari 0.55 µm (AE-corrected),93,0.6426,0.4129,0.5333,0.194,0.3184,0.2237,-0.058,-10.7378,Thái Bình: Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK)
"Vĩnh Long: UBND tỉnh, đường Hoàng Thái Hiếu (KK)",Himawari 0.55 µm (AE-corrected),34,0.6265,0.3925,0.5437,0.0158,0.1605,0.1315,-0.1187,-40.2719,"Vĩnh Long: UBND tỉnh, đường Hoàng Thái Hiếu (KK)"
Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),Himawari 0.55 µm (AE-corrected),8,0.6124,0.375,0.5288,-0.0094,0.2754,0.2265,-0.2242,-49.1821,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK)
Trà Vinh: Tp. Trà Vinh (KK),Himawari 0.55 µm (AE-corrected),24,0.5292,0.28,0.5098,0.1354,0.1549,0.1197,-0.031,-9.1338,Trà Vinh: Tp. Trà Vinh (KK)
"Thái Bình: xã Thái Thọ, huyện Thái Thụy (KK)",Himawari 0.55 µm (AE-corrected),113,0.4813,0.2317,0.2793,0.3417,0.4028,0.2702,-0.0562,-10.1809,"Thái Bình: xã Thái Thọ, huyện Thái Thụy (KK)"
Tây Ninh: Thị xã Trảng Bàng (KK),Himawari 0.55 µm (AE-corrected),11,0.456,0.2079,1.0979,0.0236,0.3227,0.2446,0.0722,14.5418,Tây Ninh: Thị xã Trảng Bàng (KK)
"Sóc Trăng: Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",Himawari 0.55 µm (AE-corrected),6,0.1354,0.0183,0.1579,0.2933,0.2623,0.1857,0.043,14.4461,"Sóc Trăng: Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)"
HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),Himawari 0.55 µm (AE-corrected),16,0.0805,0.0065,0.0217,0.2897,0.4809,0.4024,-0.3526,-53.7109,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK)
